user_id#merchant_id,user_id,merchant_id,age_range,gender
98127#1897,98127,1897,3,0
64694#4103,64694,4103,7,0
97198#3246,97198,3246,7,1
8030#3246,8030,3246,1,0
60842#1769,60842,1769,7,1
26816#3327,26816,3327,2,1
101111#4982,101111,4982,6,0
21829#3818,21829,3818,5,1
62035#991,62035,991,7,2
100006#2770,100006,2770,3,0
48518#2970,48518,2970,2,1
27679#81,27679,81,2,0
35869#4579,35869,4579,7,0
250#3854,250,3854,7,0
23498#1020,23498,1020,1,0
45006#4574,45006,4574,1,0
28691#351,28691,351,7,1
14309#905,14309,905,4,0
14309#3100,14309,3100,4,0
35319#3692,35319,3692,2,1
51768#2603,51768,2603,1,1
3081#2837,3081,2837,2,2
3081#3965,3081,3965,2,2
68993#1737,68993,1737,5,0
68993#3014,68993,3014,5,0
98825#4926,98825,4926,3,0
11259#4192,11259,4192,7,0
11259#3611,11259,3611,7,0
35056#2591,35056,2591,7,0
61644#1916,61644,1916,5,1
92675#4784,92675,4784,4,0
61535#501,61535,501,2,1
73142#400,73142,400,6,0
103355#2167,103355,2167,3,0
85888#1580,85888,1580,3,1
82668#3246,82668,3246,3,0
40200#270,40200,270,2,0
14878#4005,14878,4005,3,0
59465#4067,59465,4067,1,0
58596#2459,58596,2459,1,0
29083#3925,29083,3925,3,1
29676#210,29676,210,1,0
29676#4667,29676,4667,1,0
41296#252,41296,252,2,0
41296#661,41296,661,2,0
54287#3246,54287,3246,4,1
96805#1940,96805,1940,5,0
96805#44,96805,44,5,0
96805#3800,96805,3800,5,0
96805#270,96805,270,5,0
7393#281,7393,281,3,0
66379#1994,66379,1994,2,0
100244#1018,100244,1018,2,0
15730#2667,15730,2667,7,0
20210#814,20210,814,7,0
55699#1055,55699,1055,7,1
63293#1881,63293,1881,2,0
91583#1149,91583,1149,1,1
57058#4677,57058,4677,4,0
57058#1811,57058,1811,4,0
57333#2409,57333,2409,3,0
57333#1324,57333,1324,3,0
16651#1811,16651,1811,2,0
16651#2614,16651,2614,2,0
46989#144,46989,144,4,0
84561#3692,84561,3692,2,0
13385#189,13385,189,5,0
9931#873,9931,873,4,0
43206#637,43206,637,1,1
105351#2518,105351,2518,2,0
49088#4466,49088,4466,4,1
28905#956,28905,956,4,1
44042#4072,44042,4072,6,0
44042#2182,44042,2182,6,0
41231#1596,41231,1596,2,1
64307#4890,64307,4890,2,0
49734#3871,49734,3871,2,1
48457#3356,48457,3356,7,0
12347#2298,12347,2298,2,1
21814#4927,21814,4927,3,1
32544#2625,32544,2625,7,1
92081#2587,92081,2587,5,0
12237#2234,12237,2234,3,0
12237#281,12237,281,3,0
39259#1189,39259,1189,6,0
39259#4053,39259,4053,6,0
105669#3160,105669,3160,3,0
49913#1701,49913,1701,2,1
55527#702,55527,702,5,0
81201#814,81201,814,3,0
61346#3928,61346,3928,1,0
105433#4845,105433,4845,2,1
99110#2614,99110,2614,2,0
69943#1230,69943,1230,2,0
103885#3532,103885,3532,2,0
101362#1636,101362,1636,3,1
61455#3828,61455,3828,1,2
103087#1857,103087,1857,1,0
103859#850,103859,850,2,1
10634#3692,10634,3692,7,0
25444#484,25444,484,2,0
38827#1284,38827,1284,4,1
38827#962,38827,962,4,1
38827#2688,38827,2688,4,1
32241#3938,32241,3938,1,0
67885#147,67885,147,5,0
103428#4863,103428,4863,3,0
65453#3799,65453,3799,3,0
65453#4594,65453,4594,3,0
65453#1324,65453,1324,3,0
65453#2480,65453,2480,3,0
23684#4072,23684,4072,3,0
23684#2409,23684,2409,3,0
79982#2895,79982,2895,4,0
72019#4173,72019,4173,4,0
72019#2548,72019,2548,4,0
4564#1317,4564,1317,2,0
4564#4476,4564,4476,2,0
9314#4594,9314,4594,2,1
43240#1112,43240,1112,2,1
74419#1897,74419,1897,5,0
15030#939,15030,939,7,1
25064#28,25064,28,2,0
1267#3331,1267,3331,7,0
28748#4628,28748,4628,4,0
28748#3762,28748,3762,4,0
44191#3478,44191,3478,7,2
21864#3548,21864,3548,2,0
32205#2541,32205,2541,6,1
46137#2480,46137,2480,2,1
46972#221,46972,221,6,1
101438#2582,101438,2582,3,0
46652#688,46652,688,1,1
46652#3413,46652,3413,1,1
30611#2937,30611,2937,2,0
71421#361,71421,361,5,1
95828#1245,95828,1245,7,0
95828#3685,95828,3685,7,0
95828#2901,95828,2901,7,0
76989#2307,76989,2307,7,0
30704#4772,30704,4772,1,0
75563#3752,75563,3752,3,2
84331#814,84331,814,4,0
47356#4919,47356,4919,2,0
93764#3466,93764,3466,5,1
93764#4061,93764,4061,5,1
97502#3441,97502,3441,7,0
28053#3341,28053,3341,3,1
82222#3477,82222,3477,2,0
42884#3004,42884,3004,5,1
99324#814,99324,814,5,0
68440#2895,68440,2895,2,1
76341#1822,76341,1822,7,0
54596#1916,54596,1916,7,0
77089#2459,77089,2459,2,0
77089#4072,77089,4072,2,0
17870#2356,17870,2356,7,0
48913#4483,48913,4483,4,0
38340#3517,38340,3517,4,0
20863#2245,20863,2245,3,0
20863#4870,20863,4870,3,0
69232#4886,69232,4886,4,0
69232#2685,69232,2685,4,0
42683#820,42683,820,7,0
62560#44,62560,44,2,1
84435#2224,84435,2224,2,1
84435#3052,84435,3052,2,1
84435#1811,84435,1811,2,1
38967#3277,38967,3277,2,1
45701#2609,45701,2609,5,0
79967#2356,79967,2356,3,0
39172#973,39172,973,4,1
7318#998,7318,998,3,1
1775#4779,1775,4779,2,0
59365#841,59365,841,7,0
53455#1217,53455,1217,2,1
84126#4472,84126,4472,7,0
87697#3765,87697,3765,1,1
24790#3854,24790,3854,4,0
95443#1491,95443,1491,1,0
37059#711,37059,711,2,0
3837#2541,3837,2541,4,0
81006#4280,81006,4280,3,0
11953#3670,11953,3670,1,0
69207#1376,69207,1376,5,1
88667#1217,88667,1217,3,0
27485#1046,27485,1046,2,1
57739#4072,57739,4072,3,0
78691#2262,78691,2262,3,0
92941#850,92941,850,2,1
86529#2426,86529,2426,7,0
23656#3965,23656,3965,2,0
100204#4281,100204,4281,5,0
100204#3470,100204,3470,5,0
100204#4995,100204,4995,5,0
102414#187,102414,187,7,0
4958#2004,4958,2004,5,0
28236#366,28236,366,3,1
28236#4784,28236,4784,3,1
71988#1811,71988,1811,3,0
28816#3597,28816,3597,6,0
18930#2815,18930,2815,2,1
25416#210,25416,210,3,0
94243#2898,94243,2898,2,0
10460#4755,10460,4755,1,0
10460#4411,10460,4411,1,0
47534#1477,47534,1477,2,1
50280#4023,50280,4023,3,1
50280#2776,50280,2776,3,1
92601#1119,92601,1119,2,1
105366#127,105366,127,7,0
36288#4491,36288,4491,2,0
36288#2522,36288,2522,2,0
36288#78,36288,78,2,0
35243#44,35243,44,2,1
85144#1633,85144,1633,2,1
83640#4210,83640,4210,2,1
71648#3456,71648,3456,1,0
64094#3457,64094,3457,2,0
64094#4863,64094,4863,2,0
58707#1886,58707,1886,2,1
58707#2422,58707,2422,2,1
58707#4782,58707,4782,2,1
58707#2436,58707,2436,2,1
87892#922,87892,922,1,0
60406#3747,60406,3747,2,0
89691#2056,89691,2056,2,2
102295#1250,102295,1250,7,0
39415#4958,39415,4958,1,0
86502#1508,86502,1508,6,1
11571#1897,11571,1897,7,1
9614#4161,9614,4161,3,0
11210#2459,11210,2459,2,0
12691#3317,12691,3317,7,2
48260#658,48260,658,3,0
48260#873,48260,873,3,0
48260#270,48260,270,3,0
48260#502,48260,502,3,0
101472#4875,101472,4875,4,0
79600#2275,79600,2275,3,2
35585#2831,35585,2831,2,0
82469#3962,82469,3962,1,1
74048#4192,74048,4192,1,0
68258#4684,68258,4684,2,0
98009#1627,98009,1627,5,1
102826#2182,102826,2182,2,0
102826#1907,102826,1907,2,0
102109#4730,102109,4730,7,0
47734#3067,47734,3067,3,2
26261#4192,26261,4192,1,1
82164#604,82164,604,5,1
34454#1046,34454,1046,1,1
89836#3965,89836,3965,7,1
89836#814,89836,814,7,1
10810#647,10810,647,4,0
7429#4819,7429,4819,5,0
17331#2459,17331,2459,4,0
17331#2356,17331,2356,4,0
65819#3807,65819,3807,2,0
30293#3685,30293,3685,3,1
27955#1931,27955,1931,2,1
75562#3898,75562,3898,7,0
17663#3228,17663,3228,2,0
98297#4550,98297,4550,2,0
90068#4085,90068,4085,3,0
105755#1146,105755,1146,1,1
61728#3071,61728,3071,7,0
78250#3587,78250,3587,1,0
81087#607,81087,607,2,0
81087#982,81087,982,2,0
61703#2513,61703,2513,7,0
56146#3100,56146,3100,3,0
96967#3337,96967,3337,7,0
58521#3807,58521,3807,3,1
18350#2888,18350,2888,3,1
18350#2501,18350,2501,3,1
18350#4881,18350,4881,3,1
18350#3283,18350,3283,3,1
88438#1648,88438,1648,2,0
39797#289,39797,289,7,0
41896#1586,41896,1586,4,0
41896#1811,41896,1811,4,0
39133#3747,39133,3747,5,0
39133#1807,39133,1807,5,0
20318#4035,20318,4035,2,0
12621#944,12621,944,4,1
32019#1020,32019,1020,7,0
10059#3670,10059,3670,2,0
10059#1822,10059,1822,2,0
59405#4349,59405,4349,7,0
85225#4460,85225,4460,5,1
28120#3218,28120,3218,2,0
102384#4170,102384,4170,4,0
6434#3082,6434,3082,7,2
37490#483,37490,483,5,0
291#2831,291,2831,3,1
61816#4218,61816,4218,3,1
61816#2780,61816,2780,3,1
19078#2480,19078,2480,5,0
48192#669,48192,669,7,2
48354#4335,48354,4335,2,1
5725#1897,5725,1897,2,1
57801#2780,57801,2780,4,0
12723#1971,12723,1971,7,1
7180#4531,7180,4531,4,0
64211#276,64211,276,4,1
64211#3857,64211,3857,4,1
1940#4314,1940,4314,7,1
5550#3094,5550,3094,4,0
24091#2459,24091,2459,2,0
1050#2988,1050,2988,1,2
96215#2414,96215,2414,3,0
96215#604,96215,604,3,0
14813#3572,14813,3572,7,1
12814#501,12814,501,2,0
1007#1144,1007,1144,7,2
32263#3800,32263,3800,2,0
104075#1272,104075,1272,2,0
94385#2895,94385,2895,4,0
15524#3569,15524,3569,2,0
48335#3216,48335,3216,2,1
37357#168,37357,168,2,0
37357#3058,37357,3058,2,0
103710#4430,103710,4430,3,0
14081#3528,14081,3528,2,0
96775#3827,96775,3827,4,0
43393#3333,43393,3333,2,2
43393#3285,43393,3285,2,2
43393#4335,43393,4335,2,2
43393#3052,43393,3052,2,2
43393#814,43393,814,2,2
43393#2929,43393,2929,2,2
43393#3067,43393,3067,2,2
41642#3100,41642,3100,5,0
41642#1886,41642,1886,5,0
11492#4995,11492,4995,5,1
52262#4103,52262,4103,1,0
25874#3337,25874,3337,4,1
60664#4746,60664,4746,3,1
40515#4161,40515,4161,2,0
102224#4924,102224,4924,2,0
102224#3540,102224,3540,2,0
7334#4466,7334,4466,1,0
43660#1469,43660,1469,2,0
26378#2080,26378,2080,3,0
42056#4579,42056,4579,5,0
98393#661,98393,661,3,0
78066#4460,78066,4460,2,0
60102#750,60102,750,3,1
45792#3854,45792,3854,2,1
45792#3464,45792,3464,2,1
36709#4574,36709,4574,7,0
28383#530,28383,530,7,0
56649#1886,56649,1886,4,0
95977#711,95977,711,3,0
95977#4531,95977,4531,3,0
95977#3073,95977,3073,3,0
95977#4775,95977,4775,3,0
43495#3879,43495,3879,7,2
43495#4598,43495,4598,7,2
78903#3587,78903,3587,2,0
101760#2592,101760,2592,6,0
3530#637,3530,637,3,0
71244#845,71244,845,1,0
45736#3762,45736,3762,3,0
53373#2615,53373,2615,2,0
70972#820,70972,820,3,1
73487#471,73487,471,3,0
58840#3100,58840,3100,4,0
58840#2078,58840,2078,4,0
46903#3333,46903,3333,7,0
67857#2992,67857,2992,2,2
85060#3702,85060,3702,7,0
55809#1221,55809,1221,2,0
68323#4777,68323,4777,7,1
73347#1688,73347,1688,3,1
16042#1391,16042,1391,4,2
12123#2603,12123,2603,2,0
47080#1062,47080,1062,5,0
5536#2513,5536,2513,1,0
89117#716,89117,716,4,0
37995#3807,37995,3807,6,0
89194#3818,89194,3818,3,0
9782#2273,9782,2273,2,1
83146#2861,83146,2861,1,0
63558#1363,63558,1363,1,0
28174#4072,28174,4072,2,0
11666#872,11666,872,7,0
73307#3587,73307,3587,1,0
39257#3333,39257,3333,2,0
71561#2835,71561,2835,3,0
7636#2268,7636,2268,3,0
57675#2976,57675,2976,7,0
51746#1793,51746,1793,2,0
85889#2642,85889,2642,3,0
1331#1671,1331,1671,2,1
15345#361,15345,361,6,1
59041#3901,59041,3901,3,1
92196#4360,92196,4360,4,1
75412#3218,75412,3218,5,1
75412#750,75412,750,5,1
37688#3568,37688,3568,3,0
53615#44,53615,44,2,1
82607#4141,82607,4141,5,0
82607#2357,82607,2357,5,0
51255#179,51255,179,4,1
2092#270,2092,270,7,0
103882#1250,103882,1250,2,1
86941#965,86941,965,1,0
85214#4004,85214,4004,7,0
100198#1897,100198,1897,7,0
84250#1886,84250,1886,7,0
89231#2809,89231,2809,7,0
104480#686,104480,686,6,0
104480#2459,104480,2459,6,0
104480#2343,104480,2343,6,0
104919#3100,104919,3100,2,0
47003#604,47003,604,5,0
71742#270,71742,270,2,0
8863#697,8863,697,2,0
66654#3785,66654,3785,7,0
65110#2649,65110,2649,2,0
65110#2770,65110,2770,2,0
65110#4103,65110,4103,2,0
16550#2747,16550,2747,3,0
85357#2883,85357,2883,2,2
80606#658,80606,658,7,0
96330#404,96330,404,1,1
12321#3457,12321,3457,2,1
5798#1624,5798,1624,2,0
8924#3670,8924,3670,2,0
3958#1508,3958,1508,1,0
14880#4365,14880,4365,3,0
14880#1318,14880,1318,3,0
94928#4988,94928,4988,3,0
16004#1811,16004,1811,2,0
54928#357,54928,357,1,1
13092#4551,13092,4551,2,0
13092#3100,13092,3100,2,0
74211#604,74211,604,5,1
88662#2904,88662,2904,3,0
104603#2626,104603,2626,4,2
39059#3317,39059,3317,3,1
36840#4035,36840,4035,2,0
36840#2290,36840,2290,2,0
83528#2450,83528,2450,2,0
100309#1073,100309,1073,2,0
77044#4562,77044,4562,5,0
77044#3956,77044,3956,5,0
14767#4684,14767,4684,7,0
38903#2125,38903,2125,4,1
43147#4072,43147,4072,2,1
43147#4919,43147,4919,2,1
41652#1445,41652,1445,2,1
41652#2841,41652,2841,2,1
14411#4081,14411,4081,2,1
1415#2379,1415,2379,2,0
93435#1897,93435,1897,7,1
93435#1020,93435,1020,7,1
56215#642,56215,642,7,0
103586#2234,103586,2234,3,0
43093#2522,43093,2522,1,0
33724#3818,33724,3818,3,0
99438#1283,99438,1283,5,1
79678#1753,79678,1753,3,0
79678#4552,79678,4552,3,0
38779#884,38779,884,3,0
45763#2837,45763,2837,4,1
4074#3123,4074,3123,7,0
11475#2820,11475,2820,3,0
13229#1973,13229,1973,7,0
77716#2018,77716,2018,1,0
49489#3954,49489,3954,3,0
40962#3020,40962,3020,1,0
88048#3470,88048,3470,4,1
18663#4466,18663,4466,7,0
52993#2883,52993,2883,3,1
30726#2883,30726,2883,2,0
63176#607,63176,607,7,0
38013#2480,38013,2480,7,0
9147#3555,9147,3555,2,0
62143#4819,62143,4819,5,0
4612#2249,4612,2249,7,0
63233#168,63233,168,4,0
63233#4072,63233,4072,4,0
53592#3465,53592,3465,3,1
53592#2633,53592,2633,3,1
105097#360,105097,360,2,1
94493#255,94493,255,5,0
58146#1176,58146,1176,4,0
74750#4273,74750,4273,3,1
74750#1857,74750,1857,3,1
12492#1363,12492,1363,2,1
1480#2004,1480,2004,4,0
69422#1469,69422,1469,2,1
90519#4613,90519,4613,2,1
86331#634,86331,634,1,1
58618#1095,58618,1095,3,1
6624#2502,6624,2502,1,0
49319#283,49319,283,7,0
41662#1984,41662,1984,4,0
41662#4086,41662,4086,4,0
34456#4995,34456,4995,7,1
13910#4703,13910,4703,7,0
43789#3868,43789,3868,2,0
52353#4873,52353,4873,7,1
97394#939,97394,939,5,0
16165#3246,16165,3246,2,0
15217#3928,15217,3928,1,0
53188#3807,53188,3807,5,1
53188#3555,53188,3555,5,1
39038#944,39038,944,2,0
52586#4670,52586,4670,1,1
83121#1886,83121,1886,3,0
48965#4594,48965,4594,7,0
69503#939,69503,939,7,1
65615#3100,65615,3100,4,0
42899#1701,42899,1701,3,1
47475#1701,47475,1701,2,1
43754#2402,43754,2402,7,0
73207#789,73207,789,4,1
40329#41,40329,41,1,2
27279#2412,27279,2412,1,0
81509#4308,81509,4308,1,0
47085#939,47085,939,2,0
69528#2480,69528,2480,3,1
47299#1021,47299,1021,4,1
50673#3042,50673,3042,2,0
5373#3333,5373,3333,3,1
104530#3464,104530,3464,5,0
57961#351,57961,351,2,0
2064#2414,2064,2414,2,1
18163#1743,18163,1743,6,1
92258#845,92258,845,2,0
26021#2545,26021,2545,2,0
67004#2829,67004,2829,3,0
97199#1581,97199,1581,1,1
80748#2465,80748,2465,3,0
80748#2898,80748,2898,3,0
37649#1665,37649,1665,2,0
36047#3080,36047,3080,2,0
96988#2207,96988,2207,7,0
9020#452,9020,452,2,1
1801#1886,1801,1886,5,0
59669#811,59669,811,2,1
59669#2459,59669,2459,2,1
89532#4780,89532,4780,7,0
100633#3528,100633,3528,1,1
33639#3100,33639,3100,7,0
42217#4688,42217,4688,2,0
75714#3828,75714,3828,2,0
29475#3201,29475,3201,2,1
103665#3067,103665,3067,1,1
12639#4995,12639,4995,3,0
31294#199,31294,199,2,0
68585#2630,68585,2630,7,0
68585#4428,68585,4428,7,0
97537#2904,97537,2904,7,0
62478#496,62478,496,2,0
62478#3854,62478,3854,2,0
97764#222,97764,222,1,1
55846#1360,55846,1360,7,0
48264#3249,48264,3249,6,1
26380#4531,26380,4531,3,2
50092#4306,50092,4306,5,0
97683#4822,97683,4822,1,1
18453#2831,18453,2831,1,0
43039#351,43039,351,7,1
94947#2076,94947,2076,7,0
65620#483,65620,483,5,0
82946#1847,82946,1847,2,0
8569#2420,8569,2420,7,0
101654#4401,101654,4401,1,0
97076#3438,97076,3438,1,0
27167#4676,27167,4676,3,0
94860#357,94860,357,7,2
59975#1508,59975,1508,1,1
94652#775,94652,775,3,0
94652#2234,94652,2234,3,0
54475#357,54475,357,3,1
92280#1307,92280,1307,4,0
98721#1360,98721,1360,2,0
86959#4696,86959,4696,2,1
73550#746,73550,746,2,0
30995#1753,30995,1753,7,2
38775#2459,38775,2459,2,0
68810#2054,68810,2054,7,0
52812#1822,52812,1822,3,1
22659#121,22659,121,7,0
22659#2522,22659,2522,7,0
22659#3098,22659,3098,7,0
22659#4542,22659,4542,7,0
13187#2780,13187,2780,7,0
31299#4982,31299,4982,2,1
31299#4696,31299,4696,2,1
31299#351,31299,351,2,1
69732#1324,69732,1324,7,0
6909#3921,6909,3921,2,2
50400#3218,50400,3218,7,0
28266#1469,28266,1469,1,0
31028#2370,31028,2370,5,1
69854#2459,69854,2459,3,1
97789#3517,97789,3517,2,1
95109#1581,95109,1581,2,0
103767#4085,103767,4085,4,0
27057#845,27057,845,3,0
45560#4401,45560,4401,2,0
102678#3887,102678,3887,2,0
102678#716,102678,716,2,0
45666#1811,45666,1811,2,0
64656#3803,64656,3803,7,0
45398#75,45398,75,5,1
20124#4345,20124,4345,2,0
20124#4072,20124,4072,2,0
50281#997,50281,997,1,1
50281#4316,50281,4316,1,1
4943#3878,4943,3878,7,0
56874#661,56874,661,2,0
28863#1250,28863,1250,3,0
88933#3587,88933,3587,2,0
88933#3669,88933,3669,2,0
39416#646,39416,646,3,1
32697#4613,32697,4613,2,0
87389#2835,87389,2835,2,1
98213#2454,98213,2454,7,0
69323#4061,69323,4061,2,0
46807#4552,46807,4552,4,0
16949#1250,16949,1250,3,0
33752#3042,33752,3042,2,0
1255#750,1255,750,7,0
1255#716,1255,716,7,0
90537#1785,90537,1785,7,1
90537#3438,90537,3438,7,1
31078#1155,31078,1155,2,0
104636#4826,104636,4826,3,0
39142#3438,39142,3438,7,1
2254#380,2254,380,2,0
12699#3812,12699,3812,7,0
23200#3688,23200,3688,1,0
11611#637,11611,637,1,1
54307#2060,54307,2060,5,0
7975#646,7975,646,5,0
10386#3965,10386,3965,3,1
75165#658,75165,658,4,0
92039#3457,92039,3457,2,0
34592#2809,34592,2809,2,0
34103#1758,34103,1758,7,0
21793#281,21793,281,3,2
25264#3249,25264,3249,7,0
25264#814,25264,814,7,0
34176#593,34176,593,1,1
34176#1650,34176,1650,1,1
94117#2018,94117,2018,7,0
43630#996,43630,996,3,1
43630#2033,43630,2033,3,1
40043#3100,40043,3100,2,1
39769#2080,39769,2080,7,0
21409#78,21409,78,7,1
33508#4982,33508,4982,2,0
97930#3999,97930,3999,6,0
11712#1053,11712,1053,2,0
35920#1021,35920,1021,4,1
74899#1183,74899,1183,1,0
29100#3871,29100,3871,3,1
7784#521,7784,521,5,0
46853#1155,46853,1155,7,0
69371#3854,69371,3854,1,1
84851#4069,84851,4069,4,0
63237#1134,63237,1134,4,0
13856#3249,13856,3249,3,0
13856#604,13856,604,3,0
13856#658,13856,658,3,0
34197#4103,34197,4103,2,0
21009#637,21009,637,7,0
82957#4061,82957,4061,7,0
82957#174,82957,174,7,0
40642#28,40642,28,3,0
19955#4103,19955,4103,2,0
6428#1581,6428,1581,2,1
100468#2522,100468,2522,3,0
67638#2702,67638,2702,2,0
13190#3871,13190,3871,7,1
26334#1138,26334,1138,2,0
49369#3670,49369,3670,5,0
71906#2780,71906,2780,3,0
58624#3748,58624,3748,5,1
48492#3569,48492,3569,3,1
27638#2770,27638,2770,5,0
97110#1031,97110,1031,2,1
12644#2988,12644,2988,3,1
12644#2357,12644,2357,3,1
7575#3285,7575,3285,4,0
44810#421,44810,421,3,0
2555#1183,2555,1183,2,1
37734#4569,37734,4569,3,1
13115#2077,13115,2077,4,0
28571#866,28571,866,7,0
28571#2402,28571,2402,7,0
26040#3962,26040,3962,3,0
22540#3818,22540,3818,3,0
82521#1502,82521,1502,7,0
22267#2925,22267,2925,1,1
101723#3381,101723,3381,3,0
68475#4335,68475,4335,2,1
54781#3526,54781,3526,2,0
1700#851,1700,851,2,0
65500#1402,65500,1402,3,0
35621#2367,35621,2367,2,0
35621#3797,35621,3797,2,0
35621#3830,35621,3830,2,0
35621#2281,35621,2281,2,0
64617#2213,64617,2213,1,0
95066#4688,95066,4688,3,0
70098#4870,70098,4870,5,0
79476#210,79476,210,5,1
68769#270,68769,270,2,0
68769#3438,68769,3438,2,0
101457#1245,101457,1245,2,0
31198#2480,31198,2480,2,1
31198#4628,31198,4628,2,1
31198#3317,31198,3317,2,1
31198#841,31198,841,2,1
47191#344,47191,344,3,0
30373#3339,30373,3339,2,1
63821#4863,63821,4863,7,0
63821#2135,63821,2135,7,0
45410#4569,45410,4569,7,0
71386#2421,71386,2421,5,0
71386#2446,71386,2446,5,0
53609#4988,53609,4988,6,1
53609#3854,53609,3854,6,1
54164#1811,54164,1811,2,0
62398#1701,62398,1701,2,0
4393#4659,4393,4659,1,0
48670#2175,48670,2175,5,1
48670#4204,48670,4204,5,1
